t,n_agents,n_in_store,n_in_vestibule,n_in_street,flow_left_door_per_min,flow_top_door_per_min,flow_right_door_per_min,contacts_lt_1m,contacts_lt_covid,avg_speed,avg_speed_store,avg_speed_vestibule,queue_front_cashiers,density_store,density_vestibule
2.2769999999999975,20,2,0,0,0.0,0.0,0.0,73,141,0.11793807956173652,1.0845891070541631,0.0,0,0.002816207272855282,0.0
2.3099999999999974,20,2,0,0,0.0,0.0,0.0,73,141,0.11792626807469837,1.09390927391539,0.0,0,0.002816207272855282,0.0
2.3429999999999973,20,2,0,0,0.0,0.0,0.0,73,140,0.11967981730768336,1.111404070057359,0.0,0,0.002816207272855282,0.0
2.3759999999999972,20,2,0,0,0.0,0.0,0.0,73,140,0.12447228661894216,1.1395996361164866,0.0,0,0.002816207272855282,0.0
2.408999999999997,20,2,0,0,0.0,0.0,0.0,73,139,0.135988852941116,1.1837187582170197,0.0,0,0.002816207272855282,0.0
2.441999999999997,20,2,0,0,0.0,0.0,0.0,71,138,0.15341605163106145,1.2202375707964017,0.0,0,0.002816207272855282,0.0
2.474999999999997,20,2,0,0,0.0,0.0,0.0,69,138,0.16942297859987784,1.2510816947749603,0.0,0,0.002816207272855282,0.0
2.507999999999997,20,2,0,0,0.0,0.0,0.0,68,137,0.18333515388798557,1.2768322167176023,0.0,0,0.002816207272855282,0.0
2.540999999999997,20,2,0,0,0.0,0.0,0.0,68,136,0.19505244665556118,1.2960130682409552,0.0,0,0.002816207272855282,0.0
2.5739999999999967,20,2,0,0,0.0,0.0,0.0,67,136,0.20507730063983906,1.311255014190295,0.0,0,0.002816207272855282,0.0
2.6069999999999967,20,2,0,0,0.0,0.0,0.0,66,136,0.21368831174103814,1.3217657322474166,0.0,0,0.002816207272855282,0.0
2.6399999999999966,20,2,0,0,0.0,0.0,0.0,66,135,0.22146361312684287,1.3293743272157457,0.0,0,0.002816207272855282,0.0
2.6729999999999965,20,2,0,0,0.0,0.0,0.0,66,133,0.228961573145386,1.3367095667289424,0.0,0,0.002816207272855282,0.0
2.7059999999999964,20,2,0,0,0.0,0.0,0.0,66,132,0.23613607830311242,1.342401155447472,0.0,0,0.002816207272855282,0.0
2.7389999999999963,20,2,0,0,0.0,0.0,0.0,66,132,0.2429311506136008,1.3465502323789347,0.0,0,0.002816207272855282,0.0
2.7719999999999962,20,2,0,0,0.0,0.0,0.0,65,130,0.24919395314107504,1.3485886037131602,0.0,0,0.002816207272855282,0.0
2.804999999999996,20,2,0,0,0.0,0.0,0.0,65,130,0.25483759249757276,1.3481823695944009,0.0,0,0.002816207272855282,0.0
2.837999999999996,20,2,0,0,0.0,0.0,0.0,64,130,0.2598472992919906,1.3452720109589837,0.0,0,0.002816207272855282,0.0
2.870999999999996,20,2,0,0,0.0,0.0,0.0,64,130,0.26427146590668105,1.3402288465311039,0.0,0,0.002816207272855282,0.0
2.903999999999996,20,2,0,0,0.0,0.0,0.0,63,130,0.2681709429853582,1.3335605995232367,0.0,0,0.002816207272855282,0.0
2.936999999999996,20,2,0,0,0.0,0.0,0.0,63,130,0.27153437778138684,1.3251364081149832,0.0,0,0.002816207272855282,0.0
2.9699999999999958,20,2,0,0,0.0,0.0,0.0,63,130,0.27427901500481133,1.3149823917820211,0.0,0,0.002816207272855282,0.0
3.0029999999999957,20,2,0,0,0.0,0.0,0.0,63,127,0.27659469325901664,1.3041414335814112,0.0,0,0.002816207272855282,0.0
3.0359999999999956,20,2,0,0,0.0,0.0,0.0,61,126,0.2782432158474346,1.2916937203736145,0.0,0,0.002816207272855282,0.0
3.0689999999999955,20,3,0,0,0.0,0.0,0.0,59,126,0.2798923685272125,1.3350350709022483,0.0,0,0.004224310909282923,0.0
3.1019999999999954,20,3,0,0,0.0,0.0,0.0,56,126,0.28113717667418703,1.3413239627012252,0.0,0,0.004224310909282923,0.0
3.1349999999999953,20,3,0,0,0.0,0.0,0.0,56,124,0.28951118125327924,1.3520028050613389,0.0,0,0.004224310909282923,0.0
3.1679999999999953,20,3,0,0,0.0,0.0,0.0,56,122,0.29097145463271745,1.3568959890318784,0.0,0,0.004224310909282923,0.0
3.200999999999995,20,3,0,0,0.0,0.0,0.0,53,119,0.29337160008840596,1.356541203957984,0.0,0,0.004224310909282923,0.0
3.233999999999995,20,3,0,0,0.0,0.0,0.0,53,119,0.2960697240866708,1.3523018605729256,0.0,0,0.004224310909282923,0.0
3.266999999999995,20,3,0,0,0.0,0.0,0.0,51,119,0.2982086791746544,1.3442428833859308,0.0,0,0.004224310909282923,0.0
3.299999999999995,20,3,0,0,0.0,0.0,0.0,50,118,0.29954456058556633,1.3332105507818672,0.0,0,0.004224310909282923,0.0
3.332999999999995,20,3,0,0,0.0,0.0,0.0,50,118,0.30034078069117165,1.3221037988695623,0.0,0,0.004224310909282923,0.0
3.3659999999999948,20,3,0,0,0.0,0.0,0.0,50,117,0.3005152741619205,1.3109809027152233,0.0,0,0.004224310909282923,0.0
3.3989999999999947,20,3,0,0,0.0,0.0,0.0,50,115,0.30023835932363385,1.3012568768069996,0.0,0,0.004224310909282923,0.0
3.4319999999999946,20,3,0,0,0.0,0.0,0.0,50,115,0.2996435624375532,1.2937870581735962,0.0,0,0.004224310909282923,0.0
3.4649999999999945,20,3,0,0,0.0,0.0,0.0,48,115,0.31309417656593314,1.2900430158508878,0.0,0,0.004224310909282923,0.0
3.4979999999999944,20,3,0,0,0.0,0.0,0.0,48,114,0.31865087788336194,1.2899434268921068,0.0,0,0.004224310909282923,0.0
3.5309999999999944,20,3,0,0,0.0,0.0,0.0,48,113,0.3247972938073428,1.288383458664738,0.0,0,0.004224310909282923,0.0
3.5639999999999943,20,3,0,0,0.0,0.0,0.0,47,113,0.3300158656614983,1.2862314911041963,0.0,0,0.004224310909282923,0.0
3.596999999999994,20,3,0,0,0.0,0.0,0.0,47,111,0.33511987090703477,1.2884216536747966,0.0,0,0.004224310909282923,0.0
3.629999999999994,20,4,0,0,0.0,0.0,0.0,47,110,0.3398985669165227,1.2676456391158126,0.0,0,0.005632414545710564,0.0
3.662999999999994,20,4,0,0,0.0,0.0,0.0,46,109,0.34482266062402933,1.2802311136244366,0.0,0,0.005632414545710564,0.0
3.695999999999994,20,4,0,0,0.0,0.0,0.0,45,108,0.3495387373522391,1.2918091569173487,0.0,0,0.005632414545710564,0.0
3.728999999999994,20,4,0,0,0.0,0.0,0.0,45,108,0.3540206888823795,1.3028434997714113,0.0,0,0.005632414545710564,0.0
3.761999999999994,20,4,0,0,0.0,0.0,0.0,43,108,0.3573088247688322,1.310451217512041,0.0,0,0.005632414545710564,0.0
3.7949999999999937,20,4,0,0,0.0,0.0,0.0,43,107,0.3592900162384995,1.314298552631367,0.0,0,0.005632414545710564,0.0
3.8279999999999936,20,4,0,0,0.0,0.0,0.0,42,107,0.3600685160663868,1.314525838132643,0.0,0,0.005632414545710564,0.0
3.8609999999999935,20,4,0,0,0.0,0.0,0.0,41,105,0.35963150241496267,1.3104816395495402,0.0,0,0.005632414545710564,0.0
3.8939999999999935,20,4,0,0,0.0,0.0,0.0,41,104,0.3582589607364245,1.3029361543941405,0.0,0,0.005632414545710564,0.0
3.9269999999999934,20,4,0,0,0.0,0.0,0.0,41,103,0.35642265113631516,1.293716158653738,0.0,0,0.005632414545710564,0.0
3.9599999999999933,20,4,0,0,0.0,0.0,0.0,41,103,0.3546215330787511,1.284985035632987,0.0,0,0.005632414545710564,0.0
3.992999999999993,20,4,0,0,0.0,0.0,0.0,41,103,0.3527128421773972,1.275909631080607,0.0,0,0.005632414545710564,0.0
4.025999999999994,20,4,0,0,0.0,0.0,0.0,41,103,0.3506096950369365,1.2660919460287348,0.0,0,0.005632414545710564,0.0
4.058999999999994,20,4,0,0,0.0,0.0,0.0,41,102,0.34796649960685,1.2539205301326728,0.0,0,0.005632414545710564,0.0
4.091999999999994,20,4,0,0,0.0,0.0,0.0,41,102,0.34520900491971956,1.2416724232190002,0.0,0,0.005632414545710564,0.0
4.124999999999995,20,4,0,0,0.0,0.0,0.0,41,101,0.34286424115546443,1.2321320434166976,0.0,0,0.005632414545710564,0.0
4.157999999999995,20,4,0,0,0.0,0.0,0.0,41,100,0.340802651086772,1.224800224673433,0.0,0,0.005632414545710564,0.0
4.190999999999995,20,4,0,0,0.0,0.0,0.0,41,100,0.33892268470586345,1.219335738328685,0.0,0,0.005632414545710564,0.0
4.223999999999996,20,4,0,0,0.0,0.0,0.0,41,99,0.3375940113867058,1.2177992734168763,0.0,0,0.005632414545710564,0.0
